filename	event_labels
-2MNizJeLbA_360_370	Speech,Vacuum_cleaner
-2MX_uVcsms_30_40	Cat
-2RPPODqLy4_30_40	Speech,Acoustic_guitar
-2T6muxP3vI_30_40	Acoustic_guitar,Speech
-2XEfT3k5yg_29_39	Speech,Cat
-2YX2wk7S-k_30_40	Speech,Violin_fiddle
-2Z9JGG0Dnw_70_80	Cello
-2ah-O3oivo_0_10	Motorcycle
-2kErLFAk5k_30_40	Speech,Cat
-2l1E-nzRWE_30_40	Acoustic_guitar,Speech
-2wSfX2alxs_30_40	Speech,Dog
-2xjeuKOWwQ_120_130	Lawn_mower
-2zhRsW011k_30_40	Acoustic_guitar,Speech
-3-t7Sm6un0_50_60	Motorcycle
-3-uw-w5Mi0_50_60	Speech,Basketball_bounce
-313pdpHsmU_17_27	Cat
-32IrasDuMg_0_10	Speech,Baby_cry_infant_cry
-37slAvDsE8_30_40	Speech,Car
-38fy-Du3jE_50_60	Chicken_rooster
-3E36nmSffc_16_26	Cat
-3Q9M7O6dzI_260_270	Speech,Singing
-3UBJIEYKVg_20_30	Speech,Baby_cry_infant_cry
-3XWBAmjmaQ_11_21	Motorcycle
-3YeIAVRaOs_250_260	Motorcycle
-3cmXbOJOoc_30_40	Speech,Dog
-3ihfHTdJSI_110_120	Chicken_rooster
-3jCQXtsa7A_30_40	Speech,Dog
-3kt0GobDIM_70_80	Accordion
-3qVzrEZ8l0_30_40	Speech,Cat
-3sP-B8pHHM_30_40	Speech,Car
-3tQW7Zhl9U_380_390	Helicopter
-3xhrOw45ss_60_70	Banjo
-405Ksmbra8_19_29	Chicken_rooster
-46xqouqMxA_6_16	Cat
-47j2rfYYyQ_30_40	Acoustic_guitar,Speech
-49HTaaNAjk_10_20	Speech,Dog
-4A2_GCaKGg_0_10	Speech,Telephone_bell_ringing
-4BWc0v8Y7U_70_80	Chicken_rooster
-4D3Gkyisyc_30_40	Speech,Motorcycle
-4D6lAgqcI0_30_40	Acoustic_guitar,Speech
-4I2T5UOct8_110_120	Cello
-4Ihd9_fGnw_460_470	Cheering
-4IpnZ4a-Wc_170_180	Cello
-4K0PxznJ4E_30_40	Speech,Car
-4RO-xwY_sU_30_40	Speech,Dog
-4V-G01XDGA_140_150	Speech,Dog
-4W5MXLYr7Y_30_40	Speech,Dog
-4WKTcogEJs_30_40	Vacuum_cleaner
-4XLgZQ6NlM_30_40	Acoustic_guitar,Speech
-4YlYhzRc_c_290_300	Speech,Car
-4ZFguO-v8M_50_60	Speech,Dog
-4ZqNB9w0s8_30_40	Speech,Car
-4dh9JhVISQ_10_20	Speech,Car
-4e-m-V66DY_30_40	Speech,Dog
-4gFr9dxpyM_420_430	Speech,Car
-4iYtQm7Qcc_0_10	Speech,Violin_fiddle
-4k8HMetWQ4_100_110	Speech,Car
-4kQf5Q1MjM_590_600	Clapping
-4klabedM1A_30_40	Speech,Car
-4o0jRbgHr4_30_40	Cat
-4qioYDm1LY_20_30	Speech,Car
-4sst_mzg2w_23_33	Cat
-4vYvHuiHH8_30_40	Speech,Car
-4yIYhypF8w_30_40	Cat
-5-4l1VAMj4_30_40	Speech,Car
-5-tOp4t_kU_20_30	Helicopter
-5-z4p60EpA_550_560	Speech,Basketball_bounce
-516tRoxniU_20_30	Cello
-54lDfDVM8Q_30_40	Speech,Violin_fiddle
-55UGnqZsOo_8_18	Speech,Cat
-57qvJzYipc_30_40	Speech,Car
-583Fmion4U_30_40	Cat
-58Z2Uxw2qE_30_40	Chainsaw
-5B-Fvwq-Qk_30_40	Speech,Dog
-5BYh2aUMAE_80_90	Cello
-5Dtu5Ba7l8_30_40	Acoustic_guitar,Speech
-5F-IejjG9w_0_10	Speech,Chicken_rooster
-5GY2eRVvWo_30_40	Cello
-5S9M6JrRFY_30_40	Speech,Car
-5Td7lhFDg0_30_40	Speech,Car
-5Xod4FuzHQ_6_16	Speech,Car
-5b8hYDKynA_30_40	Speech,Car
-5ddA2hIm8M_30_40	Speech,Car
-5hL0NGyLno_40_50	Speech,Singing
-5j92zqG-Mw_30_40	Acoustic_guitar,Speech
-5jfg4fqELw_40_50	Accordion
-5k5GyHd2So_4_14	Speech,Motorcycle
-5lX_xVW5oE_30_40	Acoustic_guitar,Speech
-5msR5aVwtg_90_100	Speech,Dog
-5oDwEgkN5U_30_40	Acoustic_guitar,Speech
-5pa9SVuCv4_30_40	Speech,Car
-5q8Wh2H8fw_22_32	Cat
-5tmhh6s6kY_20_30	Chicken_rooster
-5xOcMJpTUk_70_80	Speech,Acoustic_guitar
-5zsEc_9xnQ_100_110	Banjo
-6-rh8kbZf0_40_50	Blender
-60bBlFvY4U_190_200	Cheering
-628WBAudFs_40_50	Speech,Dog
-62RXhX5GZk_30_40	Speech,Dog
-65gZY_yF3o_17_27	Speech,Helicopter
-66S6r4EjC4_40_50	Cello
-67q0yYR0zk_24_34	Speech,Dog
-68677bCJWM_16_26	Speech,Cat
-6A2L1U9b5Y_54_64	Motorcycle
-6BlMu-Mxvo_30_40	Accordion
-6HAoOc8x7g_230_240	Acoustic_guitar,Speech
-6JhROWxkPQ_0_10	Motorcycle
-6Vl2wMppE0_150_160	Speech,Dog
-6Wcf_hTaiY_150_160	Speech,Chicken_rooster
-6axSq5UpRU_30_40	Speech,Dog
-6bTvuXsIXI_30_40	Cheering
-6fY_dxXqM8_30_40	Speech,Car
-6gOc6sLCe0_10_20	Speech,Car
-6hCyeaFJeE_0_10	Speech,Singing
-6hh1UaSy9A_30_40	Acoustic_guitar,Speech
-6k5_z525jU_460_470	Speech,Car
-6lkiUAf_cQ_30_40	Banjo
-6mz1aSpypo_30_40	Speech,Dog
-6nsM_mOHUM_30_40	Speech,Car
-6q7yec9_so_30_40	Speech,Car
-6r8fUS0pRo_30_40	Speech,Car
-6rhfzzAeTI_10_20	Speech,Dog
-6x2PtSRfJU_30_40	Speech,Cat
-6x3pTPzGZA_6_16	Speech,Car
-702CJZ2_T4_450_460	Speech,Singing
-79-Z12DW1w_30_40	Cheering
-7GwHMPKRtg_30_40	Cat
-7JOgPOp4aE_2_12	Speech,Baby_cry_infant_cry
-7N_YhJKJpo_0_10	Telephone_bell_ringing
-7QVE8o9uk4_30_40	Lawn_mower
-7R0XCeic7Q_30_40	Speech,Car
-7SNH8SUM0I_30_40	Speech,Cat
-7TAnCIM3CQ_29_39	Speech,Car
-7TkOxpkbwM_30_40	Speech,Dog
-7TmqhDJMuA_30_40	Acoustic_guitar,Speech
-7Wz4H7uc4g_30_40	Speech,Car
-7ee99NWPUE_9_19	Speech,Car
-7enMlGnaY8_30_40	Lawn_mower
-7fPnn5PAi4_30_40	Speech,Car
-7fUy3JW46w_30_40	Cello
-7g2K1J6da8_30_40	Violin_fiddle,Cello
-7gC66Xp1iY_10_20	Speech,Motorcycle
-7kGYLofPgM_380_390	Speech,Cat
-7khhKKo4ts_60_70	Speech,Dog
-7mFeYMYZlw_530_540	Speech,Singing
-7pXbSX-pcA_10_20	Motorcycle
-7prSwkSezc_50_60	Cheering
-7rZwMK6uSs_70_80	Speech,Motorcycle
-7uwQqneg8k_30_40	Helicopter
-7zHKtKmHNw_28_38	Speech,Dog
-8-DDEBf4O4_30_40	Speech,Dog
-84CyEpynsY_10_20	Speech,Dog
-85f5DKKfSo_30_40	Motorcycle
-86NqIE9UV8_30_40	Chicken_rooster
-88FrdcLdkw_30_40	Acoustic_guitar,Speech
-8Idiy30YLQ_10_20	Speech,Singing
-8NN60-br5w_0_10	Speech,Singing
-8NloAFSlwQ_190_200	Accordion
-8RI6zoi9Cc_140_150	Speech,Helicopter
-8S9TKWIOSc_30_40	Chainsaw
-8Vvk15NwpE_0_10	Cat
-8bX67H8RSI_30_40	Speech,Violin_fiddle
-8buqxazv8s_0_10	Cheering
-8dvaGDnqKw_30_40	Acoustic_guitar,Speech
-8er0iaPHcI_30_40	Speech,Car
-8pCMgGKZY8_12_22	Dog,Speech
-8ppl-wmO3U_200_210	Speech,Singing
-8rk5vvJ0_w_30_40	Speech,Dog
-8u33ba8bWs_20_30	Speech,Chicken_rooster
-902-nk0MnI_30_40	Speech,Dog
-93BWoz9SE8_30_40	Speech,Car
-93C22DxVD4_0_10	Speech,Cat
-9JA19QzqT8_30_40	Speech,Car
-9ME9qMgkeY_270_280	Helicopter
-9OJeG7KoeI_80_90	Speech,Car
-9OUFFMZTuk_50_60	Speech,Dog
-9QZ45emBzE_30_40	Speech,Car
-9Smdrt5zwk_40_50	Speech,Motorcycle
-9TrMkrRIhU_30_40	Cello
-9Zu3pbxUZA_30_40	Speech,Dog
-9a2vOEgCOI_30_40	Cello
-9ajLjbk8cs_20_30	Chicken_rooster
-9byM5-ih2M_0_10	Cat,Dog,Speech
-9f6kyiWbmI_30_40	Acoustic_guitar,Speech
-9gZLVDKpnE_30_40	Motorcycle
-9k2Z_hxYpU_130_140	Speech,Helicopter
-9lT1k_1c9k_40_50	Speech,Singing
-9t1X8pUS8Y_30_40	Speech,Violin_fiddle
-9wyZLpUOgI_180_190	Speech,Cat
-9xKC8r1Ww0_130_140	Banjo
-9yvWZMmbPE_19_29	Motorcycle
-A04KunsQsI_20_30	Vacuum_cleaner
-A1eKkZVSRw_70_80	Cat
-A2V_s2PaXU_0_10	Speech,Car
-A3cOSeUcLM_30_40	Chicken_rooster
-AB-8dDP8jg_20_30	Cello
-AFrDnmdTCg_30_40	Speech,Dog
-AFx6goDrOw_30_40	Acoustic_guitar,Speech
-AH16AxvfOk_30_40	Speech,Violin_fiddle
-AHINOm6At8_30_40	Cello
-AL6jNV6qps_30_40	Speech,Car
-ATrpUV4axE_30_40	Speech,Car
-ATt52SzTvg_20_30	Speech,Dog
-AVwRtGa-4g_30_40	Speech,Dog
-AWooU1PDiM_70_80	Speech,Dog
-AWzoCZpoBY_10_20	Speech,Cat
-AY5UpzBgCg_24_34	Speech,Car
-AYT-cx0xpE_30_40	Speech,Car
-A_Gt60tfC8_20_30	Speech,Car
-AcwZ-xmAKY_90_100	Speech,Helicopter
-AdbnNnQaEw_30_40	Speech,Baby_cry_infant_cry
-AdmzfkHJo0_110_120	Speech,Cello
-AjV0tRzp3U_30_40	Chicken_rooster
-AlpLvWoLKs_30_40	Speech,Cheering
-AlrV7wxtv0_90_100	Speech,Chicken_rooster
-An_1cTrMBk_30_40	Speech,Car
-AnrD6ZNHM0_30_40	Speech,Helicopter
-Ar4PKnkW4g_30_40	Speech,Dog
-AvgkUn359k_40_50	Vacuum_cleaner
-AyO7l1Cg80_30_40	Vacuum_cleaner
-Az-P2YqdRU_30_40	Speech,Car
-B-HOrOK4PQ_50_60	Speech,Lawn_mower
-B2YtT9rH-g_30_40	Speech,Violin_fiddle
-B2i3dzzdso_30_40	Speech,Car
-B3BBmFE2dM_0_8	Speech,Car
-B3Y_9682M8_0_10	Speech,Motorcycle
-B5DiOSRRaE_30_40	Speech,Dog
-B92lHrc8BE_30_40	Speech,Car
-B9YsJ2WT58_150_160	Speech,Chicken_rooster
-B9wAxd_V1Y_80_90	Accordion
-BC5hWf9gpE_30_40	Speech,Violin_fiddle
-BF5MwxM3iY_30_40	Speech,Dog
-BGebo8V4XY_0_10	Motorcycle
-BITdv-u3GI_10_20	Speech,Chicken_rooster
-BIuMd0jCjU_10_20	Helicopter
-BL3E3sLc78_30_40	Speech,Dog
-BLD2zJt6Fg_12_22	Speech,Dog
-BLmgSAUldo_430_440	Speech,Lawn_mower
-BWdysYwiQk_30_40	Speech,Helicopter
-BZX7wwkNQ0_30_40	Acoustic_guitar,Speech
-Bd--JbrPMA_30_40	Speech,Car
-BdIgZCQCD0_30_40	Speech,Car
-Bf98XJpFV8_90_100	Speech,Car
-Bh4TB3yXJw_80_90	Speech,Chicken_rooster
-Bi2rOUM9pg_30_40	Speech,Car
-BkDIo8x55c_0_10	Speech,Car
-BktSMo8brs_30_40	Speech,Car
-Bnctvh_6uc_18_28	Speech,Cat
-BnfUPLX1iM_30_40	Acoustic_guitar,Speech
-Bp9Q5aYLOc_70_80	Vacuum_cleaner
-BpOz9KR2IU_6_16	Speech,Car
-BrGEW6o1i0_0_10	Speech,Dog
-BrnUAUA37o_30_40	Chainsaw
-BtHxM5Uvig_20_30	Speech,Motorcycle
-Bude5GMWbk_6_16	Speech,Helicopter
-BvlRNfCz1w_50_60	Speech,Blender
-BwmIYMrx3k_30_40	Speech,Car
-By_0iIghuE_30_40	Cat
-Bzkbfg8E5g_5_15	Speech,Car
-C058ebTtP4_10_20	Speech,Car
-C3tuRIRwCg_30_40	Speech,Car
-C5HL0QPkhs_30_40	Speech,Violin_fiddle
-CANLPub63E_0_10	Helicopter
-CAQO_ogNlY_20_30	Cheering
-CHwctXCRJk_30_40	Cat
-CJGj3-kNQY_50_60	Speech,Cheering
-CQgbvHFTLE_30_40	Speech,Car
-CR88ymN-SA_30_40	Speech,Car
-CRzovpuP-E_230_240	Acoustic_guitar,Speech
-CTrxqVn5CE_10_20	Chainsaw
-CWX92Peij8_170_180	Speech,Singing
-Ca1_ynWC3M_30_40	Speech,Car
-CeD_iol6Hg_30_40	Cat
-CmZpeBAWmY_30_40	Speech,Car
-Cmx1DFd8pQ_30_40	Helicopter
-CnNnlgEsLY_7_17	Cat
-CpXRyQ8rEY_190_200	Cello
-CqVGEI95rs_10_20	Speech,Singing
-CqXLLSwi70_50_60	Speech,Chicken_rooster
-CsnNy_s4EY_30_40	Speech,Car
-CsyccdK-W0_30_40	Speech,Dog
-Ctr9bkgYpE_20_30	Cheering
-Ctt_kuuN8Y_22_32	Speech,Car
-CuzigE61hk_10_20	Cello
-CwVjwh63FU_30_40	Acoustic_guitar,Speech
-Cy4l2Me_K8_40_50	Chicken_rooster
-CzAjJI8PbA_12_22	Speech,Cat
-CzP_Tp6PkU_350_360	Speech,Car
-D0db8zD7VQ_30_40	Speech,Car
-D1MURvq6Mc_30_40	Speech,Car
-D28naXkUAA_70_80	Motorcycle
-D3xojFH4Us_10_20	Chicken_rooster
-D6DyrLZuQQ_30_40	Cat
-D7MLPP0GQQ_30_40	Acoustic_guitar,Speech
-D8SmpQS4pA_40_50	Speech,Dog
-D8gYcJNp3E_30_40	Acoustic_guitar,Speech
-D9k5D-RgL4_30_40	Speech,Car
-D9ssu55Beo_200_210	Cheering
-DAJ-LoO1g8_30_40	Speech,Car
-DCl7dtvqFM_30_40	Speech,Car
-DMGHwhP928_30_40	Helicopter
-DMS2vkzcZ4_30_40	Speech,Car
-DR4c2yfNLY_20_30	Chicken_rooster
-DVM0BK_h5A_30_40	Chainsaw
-DW1o2MMjGg_30_40	Speech,Violin_fiddle
-DW7ye93AFs_30_40	Speech,Car
-D_ljLTbCK0_220_230	Helicopter
-DecEWIegKU_20_30	Chicken_rooster
-DfS3pZTBcQ_110_120	Motorcycle
-DivZxuBp_4_110_120	Speech,Basketball_bounce
-DjCVtnOasI_30_40	Speech,Car
-DlHUJC4NuM_16_26	Frying_(food)
-DnrNt9gBJs_30_40	Speech,Cat
-DomYVFCeSM_280_290	Banjo
-DqT20mFxXk_30_40	Acoustic_guitar,Speech
-Dqi6nNtnWI_60_70	Accordion
-Dqs5gfCs6w_1_11	Speech,Dog
-Dr-EQPP-zE_10_20	Motorcycle
-DsCcOSF_-c_13_23	Speech,Dog
-DvVphuPgZQ_25_35	Speech,Car
-DyH9AzL7Rs_30_40	Acoustic_guitar,Speech
-DyUk5OFUJ0_0_10	Accordion
-DyW_LSC8bk_30_40	Lawn_mower
-DzuaA0g024_30_40	Acoustic_guitar,Speech
-E0djSiyFNI_30_40	Acoustic_guitar,Banjo
-E1_wluQY0k_90_100	Speech,Car
-E3_41ArTqs_40_50	Speech,Singing
-E5FSMwBGjw_30_40	Speech,Car
-E7YRiWlfFI_15_25	Speech,Dog
-E9o4ywIoj8_10_20	Fire_alarm
-E9oDyTmUPg_30_40	Speech,Helicopter
-EAqlD5odU4_230_240	Speech,Car
-ECRgvDx4xc_30_40	Banjo
-EDRNpIlIwo_480_490	Frying_(food)
-EGV3UsNmZ0_21_31	Speech,Car
-E_O4XVxT6Q_30_40	Speech,Car
-EanIb_lHx4_30_40	Speech,Car
-EcPBVRYCPA_60_70	Speech,Car
-Ef0YmW7OVg_30_40	Speech,Dog
-EfASI0k7JY_24_34	Speech,Dog
-EhXeGaY7C0_30_40	Speech,Car
-EjfE0pDd_M_30_40	Speech,Car
-EmmmlR88h0_30_40	Speech,Car
-ErF0kM7f8w_20_30	Speech,Motorcycle
-ErzJk_JTqA_30_40	Speech,Car
-EtLB3VM1zo_30_40	Speech,Car
-Etzr_L-R1E_30_40	Lawn_mower
-EvFB12zCk8_30_40	Blender
-EwTXi5BUvE_0_9	Motorcycle
-EwfN_vjXkA_30_40	Speech,Car
-F53UmpWFVI_10_20	Accordion
-F5wSJwBZjU_120_130	Acoustic_guitar,Singing
-F7CWkUf3vE_120_130	Speech,Chicken_rooster
-F8f2UKJSSE_40_50	Chicken_rooster
-F9NqY_FFAM_30_40	Chicken_rooster
-FBhX5b_BNE_20_30	Speech,Chicken_rooster
-FC2tCJm1xc_30_40	Speech,Singing
-FFeLquyrFQ_0_10	Speech,Basketball_bounce
-FGoF0ZNiFE_20_30	Speech,Dog
-FHaYjqVPZ8_11_21	Speech,Dog
-FL784R2DJk_21_31	Speech,Cat
-FL9SIdEWMo_10_20	Speech,Dog
-FLEmLBKkNg_10_20	Chicken_rooster
-FNu8b_mSzw_30_40	Speech,Dog
-FOHKJT-rrM_13_23	Speech,Car
-FR4W309dYo_30_40	Speech,Dog
-FRGpQEpEWM_30_40	Speech,Clapping
-FTno2LU-f8_30_40	Speech,Violin_fiddle
-FVcaKITrV0_30_40	Speech,Dog
-FWHP4XIoG4_30_40	Speech,Car
-F_xGzgytrY_180_190	Speech,Cheering
-Fch7ZrYmWA_180_190	Speech,Frying_(food)
-Ffly0FLhNo_30_40	Accordion
-Fi8fEbGDvU_30_40	Speech,Violin_fiddle
-Fid6wTPBzU_17_27	Speech,Car
-FlW_W3Ouuc_210_220	Speech,Chicken_rooster
-FqvNqUbWZw_30_40	Speech,Car
-FtSMKhI2FA_60_70	Cheering
-Fu_M4VmNIE_310_320	Speech,Chicken_rooster
-FvvJWuNCVU_70_80	Helicopter
-FwemucIizg_30_40	Speech,Dog
-Fyb0KlZxOc_90_100	Speech,Cheering
-FyciqeepCU_360_370	Speech,Car
-FynDh8x2Go_60_70	Vacuum_cleaner
-G-3350TIrM_30_40	Acoustic_guitar,Speech
-G-8K7mputA_30_40	Accordion
-G2OMjRN67o_30_40	Speech,Dog
-G5JuwEUxjM_30_40	Accordion
-G7nkZHC0ws_140_150	Banjo
-GA5EnyE4nQ_12_22	Speech,Violin_fiddle
-GAI7F2rM4g_30_40	Speech,Car
-GC4Td69-80_14_24	Speech,Car
-GD61bym00o_30_40	Speech,Dog
-GFJt6U-eE8_340_350	Speech,Frying_(food)
-GHPfOXLP2o_90_100	Speech,Car
-GJ-yBIiXZ8_120_130	Motorcycle
-GJOTyij90U_90_100	Cheering
-GJvu5hr6w4_140_150	Banjo,Violin_fiddle
-GL_qlfY3Sk_30_40	Speech,Car
-GOkPUXb3sI_4_14	Chicken_rooster
-GOnqW_BUcI_30_40	Speech,Car
-GQfpcPE-PE_30_40	Speech,Dog
-GSPHFcDEA0_190_200	Speech,Fire_alarm
-G_pVbbd7zQ_17_27	Speech,Car
-Gf7EbySYsY_30_40	Speech,Car
-GiRtQZlnbw_280_290	Motorcycle
-Gkv_n71Emk_30_40	Blender
-GlUL4ZV_hw_50_60	Speech,Car
-GlVOPNJC9I_30_40	Cat
-Glsd1Kxlvg_30_40	Chicken_rooster
-GnKRy1-NFo_150_160	Chainsaw
-Gp9-o-75bA_13_23	Speech,Dog
-GpY_7QJZoc_15_25	Speech,Cat
-GqMXFPA3vI_160_170	Vacuum_cleaner
-GrAgYivdSM_20_30	Speech,Singing
-GuW25mRud4_30_40	Speech,Car
-GxE4WPZUcQ_30_40	Speech,Car
-H1_pKntTx4_30_40	Helicopter
-H6_DUJ6_n0_30_40	Speech,Car
-H6rJ0i2NME_50_60	Speech,Helicopter
-H8nh3Z1__M_170_180	Blender
-HDFlW6kofA_0_10	Chainsaw
-HHJHAF4WxE_30_40	Speech,Car
-HIPq7T3eFI_11_21	Motorcycle
-HJxeIFmUd0_30_40	Speech,Cat
-HLHQB3uq2A_30_40	Acoustic_guitar,Speech
-HLTp7gPBEw_30_40	Speech,Cat
-HLg85Bg618_10_20	Speech,Car
-HLkaa5GCFg_20_30	Speech,Dog
-HTzStR9WCU_30_40	Speech,Car
-HV2XcVRF7I_10_20	Speech,Dog
-HVFO8pXxkY_30_40	Speech,Car
-HVUL5tNzdo_30_40	Speech,Dog
-HXs9lSAcW0_30_40	Speech,Dog
-HZOsrgheYc_30_40	Helicopter
-H_3oEkKe0M_50_60	Motorcycle
-HfyfiDVqAo_160_170	Speech,Car
-Hh5VlW3pFE_30_40	Cat
-HkLSW2VgVo_30_40	Speech,Car
-Hl4MeY3jN8_30_40	Cello
-HmuMoykRqA_500_510	Motorcycle
-Hnh9w9tKHQ_30_40	Speech,Cat
-HpLnN-W4KU_30_40	Cheering
-HtbugoO0hs_30_40	Speech,Car
-Htxb5HJSoo_150_160	Speech,Basketball_bounce
-HxQ9AoyRmY_30_40	Chicken_rooster
-HyhSn6rU8A_100_110	Blender
-HyoOgMoEXA_30_40	Speech,Baby_cry_infant_cry
-I0MkCWQrKg_120_130	Cheering
-I1upuU0HXs_16_26	Speech,Cat
-I2FVvZGDpM_30_40	Chicken_rooster
-I2wwE7WFOU_24_34	Cat
-I4mBa4oMYU_30_40	Cat
-I4tfWCFtJk_29_39	Speech,Car
-I6bg4G96HE_30_40	Acoustic_guitar,Speech
-I8MrjfgK-g_30_40	Acoustic_guitar,Speech
-IAWiwGAMqE_110_120	Acoustic_guitar,Singing
-IBfSiR2SR0_30_40	Speech,Dog
-IBinZS3e2I_60_70	Chainsaw
-II4AmLB-D4_83_93	Cheering
-IK4okM-Xxw_30_40	Speech,Dog
-ILTso74ITs_28_38	Speech,Car
-IL_HB4hPxs_30_40	Speech,Dog
-IMRE_psvtI_30_40	Motorcycle
-IVfWHYpkqY_20_30	Speech,Car
-IVwfDLPS7c_168_178	Helicopter
-IXBCHY74oA_110_120	Speech,Violin_fiddle
-IY02Wq8YnA_290_300	Cheering
-I_Ej65k3Rg_30_40	Speech,Dog
-IaFCZCig0w_11_21	Chicken_rooster
-IbZKRladtA_30_40	Cheering
-IccFOnVR8w_0_10	Motorcycle
-Ie4LSPDEF4_6_16	Speech,Motorcycle
-IhhKn6f8X4_30_40	Cat
-IiNFQu84JE_0_10	Speech,Dog
-IlaBGP83MU_30_40	Speech,Dog
-IqjVd6nmWY_130_140	Speech,Cheering
-Iry0eQq4DQ_80_90	Speech,Motorcycle
-Its_5qrHs8_30_40	Speech,Dog
-Ivf63hDvzc_30_40	Cat
-J-WfHQifzc_21_31	Speech,Car
-J0F29UCZiA_70_80	Motorcycle
-J1Vx83KAkk_30_40	Speech,Chicken_rooster
-J57NjiVwW4_30_40	Cello
-J8jvsVQcvo_30_40	Speech,Dog
-J91N-o_ToQ_200_210	Speech,Cheering
-JCxssHSIf4_7_17	Speech,Car
-JFnkRrPLBM_20_30	Chainsaw
-JGGKkAn5gU_30_40	Acoustic_guitar,Speech
-JHaUsoTOQg_20_30	Speech,Chicken_rooster
-JJmkQYZA-4_20_30	Chicken_rooster
-JKnrzprvBc_30_40	Speech,Dog
-JPHgQV27Fg_30_40	Acoustic_guitar,Speech
-JR2txaJpvI_100_110	Acoustic_guitar,Speech
-JRtUYBQKVs_30_40	Speech,Violin_fiddle
-JTuq3DZ2vo_230_240	Vacuum_cleaner
-JUBdOr8Hes_30_40	Accordion
-JUlvboQz9A_270_280	Accordion
-JXX1SwOMpk_24_34	Speech,Dog
-JZ0uT_7kX4_30_40	Speech,Cheering
-JaOCfaUJWQ_410_420	Speech,Dog
-Jas0sv1T94_30_40	Cello
-JbPonixXS4_0_10	Chainsaw
-JdcKcINFgE_30_40	Speech,Car
-JfeSb5l8AQ_590_600	Speech,Car
-JflnolHaIw_60_70	Chicken_rooster
-JhCbFDDUiw_30_40	Cheering
-Jl3ceaz95I_9_19	Speech,Cat
-Jnns0s8q2g_22_32	Speech,Telephone_bell_ringing
-JpJNiGN5YU_60_70	Accordion
-JsTYCfV9YI_190_200	Accordion
-JsikDzLCCM_170_180	Accordion
-Jt7--9EPH8_30_40	Acoustic_guitar,Speech
